;;;;;
1;1;un coup de loupe peux franchement aider;1;;
1;2;il est temps de trouver deux nombres;1;;
1;3;En lisant l'heure sur l’horloge, on peut deviner 10h25 soit 1025;3;;
;;;;;
2;1;Le titre de l’oeuvre est essentiel;1;;
2;2;Parfois, certaines cartes sont légèrement masqués et l’on ne voit pas tous les éléments;1;;
2;3;Huit de coeur, cinq de pique, six de trefle et as (1) de carreau : 8561;3;;
;;;;;
3;1;Il y a bien 4 chiffres de gauche à droite;1;;
3;2;En haut, puis en descendant puis en remontant;1;;
3;3;Il y a un 4 en haut à gauche, l’oeil est un zero, puis un sept en bas et enfin un neuf en haut à droite : 4079;3;;
;;;;;
4;1;difficile de voir des chiffres mais quelles couleurs !;1;;
4;2;vous avez déjà vu ces couleurs dans ce jeu…;1;;
4;3;le nombre de carrés colorés indique les branchement à faire 5634;3;;
;;;;;
5;1;il faut vraiment utiliser les 4 tableaux;1;;
5;2;ils ont des points communs, rapprochez-les;1;;
5;3;En mettant côte à côte 2 tableaux et en face 2 autres; on peut lire à l’intersection de ceux-ci : 3187;3;;
;;;;;
;;;;;
